index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
78,Cora,GMM,,mean,1,160,3.601757526397705,0.9681440443213296,0.9696655277869218,0.8708487084870848,0.8546640735475094
79,Cora,GMM,,mean,1,160,3.3893518447875977,0.9699907663896584,0.9719911339266696,0.8726937269372693,0.8540798203969737
80,Cora,GMM,,mean,1,160,3.593439102172852,0.9759926131117268,0.977251285011318,0.8025830258302583,0.7936430524363675
81,Cora,GMM,,mean,2,140,3.769243717193604,0.9903047091412742,0.9908457235626074,0.9022140221402214,0.8829027966431043
82,Cora,GMM,,mean,2,140,3.745518922805786,0.994921514312096,0.9942572196435912,0.8800738007380073,0.8736411110638928
83,Cora,GMM,,mean,2,140,4.172172546386719,0.9889196675900276,0.9889846996118108,0.8339483394833949,0.8089497474837319
84,Cora,GMM,,mean,2,140,3.906579971313477,0.9930747922437672,0.9935300184711192,0.8487084870848709,0.8229830077885258
85,Cora,GMM,,mean,2,140,3.8044047355651855,0.9889196675900276,0.9885718138829224,0.8892988929889298,0.8843317302379214
86,Cora,GMM,,mean,3,120,3.5219545364379883,0.994459833795014,0.9948377496263124,0.8856088560885609,0.8637061859812822
87,Cora,GMM,,mean,3,120,3.4060635566711426,0.98938134810711,0.987024071491168,0.8616236162361623,0.8524238676800808
88,Cora,GMM,,mean,3,120,3.577564001083374,0.9861495844875346,0.985900701426993,0.8339483394833949,0.8068706997346876
89,Cora,GMM,,mean,3,120,3.0316407680511475,0.9912280701754386,0.9907603533935916,0.8671586715867159,0.8479444202724189
90,Cora,GMM,,mean,3,120,3.2702643871307373,0.9810710987996306,0.9803287241450666,0.8911439114391144,0.8764237129662931
91,BZR,GCNConv,,add,2,400,8.62221097946167,0.7901234567901234,0.4413793103448276,0.7777777777777778,0.4375
92,BZR,GCNConv,,add,2,400,8.56896686553955,0.8055555555555556,0.6114590273151232,0.8765432098765432,0.4671052631578947
93,BZR,GCNConv,,add,2,400,10.085411548614502,0.8055555555555556,0.4461538461538462,0.7160493827160493,0.4172661870503596
94,BZR,GCNConv,,add,2,400,8.602567434310913,0.7932098765432098,0.4423407917383821,0.7654320987654321,0.4335664335664336
95,BZR,GCNConv,,add,2,400,8.930967569351196,0.7746913580246914,0.4365217391304347,0.8395061728395061,0.4563758389261745
96,BZR,GCNConv,,add,3,400,10.845672845840454,0.8271604938271605,0.7019515079834417,0.8024691358024691,0.608695652173913
97,BZR,GCNConv,,add,3,400,10.729866981506348,0.8148148148148148,0.6931818181818182,0.8518518518518519,0.7251131221719457
98,BZR,GCNConv,,add,3,400,10.99953031539917,0.7870370370370371,0.5132275132275133,0.8148148148148148,0.5528156054471844
99,BZR,GCNConv,,add,3,400,10.91266942024231,0.8425925925925926,0.6959761549925485,0.7901234567901234,0.6902137232845895
100,BZR,GCNConv,,add,3,400,11.177789449691772,0.8580246913580247,0.7234879406307977,0.8024691358024691,0.6086956521739131
101,BZR,GCNConv,,add,4,2500,84.77375316619873,0.9907407407407408,0.9858091831520548,0.8518518518518519,0.7857142857142857
102,BZR,GCNConv,,add,4,2500,85.36427640914917,0.984567901234568,0.9742656987180504,0.7901234567901234,0.7513093733068448
103,BZR,GCNConv,,add,4,2500,85.81555080413818,0.9814814814814816,0.972665916760405,0.8518518518518519,0.7766544117647058
104,BZR,GCNConv,,add,4,2500,84.93599963188171,0.9969135802469136,0.9952160881184756,0.8271604938271605,0.7136363636363636
105,BZR,GCNConv,,add,4,2500,84.08967399597168,0.9876543209876544,0.9805288461538462,0.7407407407407407,0.6004228329809725
106,BZR,SGConv,1.0,,2,300,6.643701314926148,0.7685185185185185,0.4345549738219895,0.8641975308641975,0.4635761589403974
107,BZR,SGConv,1.0,,2,300,6.529638051986694,0.7839506172839507,0.453125,0.8148148148148148,0.4489795918367346
108,BZR,SGConv,1.0,,2,300,6.200087308883667,0.7808641975308642,0.438474870017331,0.8148148148148148,0.4489795918367346
109,BZR,SGConv,1.0,,2,300,5.9179394245147705,0.7901234567901234,0.4413793103448276,0.7777777777777778,0.4375
110,BZR,SGConv,1.0,,2,300,6.211302280426025,0.7716049382716049,0.4355400696864112,0.8518518518518519,0.46
111,BZR,SGConv,1.0,,3,1500,39.98532247543335,0.8919753086419753,0.8243902439024391,0.8148148148148148,0.6666666666666667
112,BZR,SGConv,1.0,,3,1500,38.48738050460816,0.845679012345679,0.7262588712402839,0.8148148148148148,0.6199562089458868
113,BZR,SGConv,1.0,,3,1500,40.15566873550415,0.9012345679012346,0.8272921108742005,0.7901234567901234,0.6902137232845895
114,BZR,SGConv,1.0,,3,1500,40.4280412197113,0.8703703703703703,0.7700574518418385,0.8395061728395061,0.7111111111111111
115,BZR,SGConv,1.0,,3,1500,38.89469814300537,0.904320987654321,0.8404473320519135,0.8641975308641975,0.7906976744186046
116,BZR,SGConv,1.0,,4,1100,35.074814796447754,0.9598765432098766,0.9312831389183456,0.7777777777777778,0.7107142857142857
117,BZR,SGConv,1.0,,4,1100,36.5702702999115,0.925925925925926,0.883173076923077,0.8148148148148148,0.7266591676040495
118,BZR,SGConv,1.0,,4,1100,35.50549244880676,0.9660493827160492,0.9485380116959063,0.8518518518518519,0.7663461538461538
119,BZR,SGConv,1.0,,4,1100,34.953742265701294,0.984567901234568,0.9771027971336096,0.9135802469135802,0.86037921694164
120,BZR,SGConv,1.0,,4,1100,34.735008239746094,0.9598765432098766,0.9391812865497076,0.8518518518518519,0.7409381663113006
121,BZR,SSGConv,1.0,,2,300,6.44296669960022,0.7808641975308642,0.438474870017331,0.8148148148148148,0.4489795918367346
122,BZR,SSGConv,1.0,,2,300,6.468174457550049,0.7839506172839507,0.4394463667820069,0.8024691358024691,0.4452054794520548
123,BZR,SSGConv,1.0,,2,300,6.281904697418213,0.7746913580246914,0.4365217391304347,0.8395061728395061,0.4563758389261745
124,BZR,SSGConv,1.0,,2,300,6.365097522735596,0.7839506172839507,0.4394463667820069,0.8024691358024691,0.4452054794520548
125,BZR,SSGConv,1.0,,2,300,6.176034450531006,0.7993827160493827,0.4442538593481989,0.7407407407407407,0.425531914893617
126,BZR,SSGConv,1.0,,3,1400,38.920390367507935,0.9074074074074074,0.8333333333333334,0.8148148148148148,0.7550896996573273
127,BZR,SSGConv,1.0,,3,1400,38.391679525375366,0.8796296296296297,0.7966101694915255,0.8395061728395061,0.6925547445255475
128,BZR,SSGConv,1.0,,3,1400,38.21792554855347,0.9074074074074074,0.8485320700617092,0.925925925925926,0.8772727272727273
129,BZR,SSGConv,1.0,,3,1400,38.167887449264526,0.8549382716049383,0.7725500739346687,0.8395061728395061,0.6443768996960486
130,BZR,SSGConv,1.0,,3,1400,37.91596293449402,0.8858024691358025,0.8017037465883715,0.7777777777777778,0.5876696832579186
131,BZR,SSGConv,1.0,,4,1000,33.099061012268066,0.9320987654320988,0.8976332720588236,0.8395061728395061,0.711111111111111
132,BZR,SSGConv,1.0,,4,1000,33.55832839012146,0.9290123456790124,0.8873758822373691,0.8395061728395061,0.7526427061310783
133,BZR,SSGConv,1.0,,4,1000,34.372562646865845,0.9722222222222222,0.9569447930662808,0.8518518518518519,0.7663461538461538
134,BZR,SSGConv,1.0,,4,1000,34.49208307266235,0.9629629629629628,0.9441636029411764,0.8641975308641975,0.7689914441275603
135,BZR,SSGConv,1.0,,4,1000,32.99543285369873,0.9012345679012346,0.8494686102561124,0.8395061728395061,0.7269898885143894
136,BZR,TAGConv,2.0,,2,900,18.329582691192627,0.8487654320987654,0.7297748123436197,0.7654320987654321,0.638477801268499
137,BZR,TAGConv,2.0,,2,900,18.887667179107662,0.8580246913580247,0.7584910552242676,0.8271604938271605,0.6792986425339367
138,BZR,TAGConv,2.0,,2,900,20.136502265930176,0.8148148148148148,0.6199562089458868,0.8641975308641975,0.7398540145985402
139,BZR,TAGConv,2.0,,2,900,19.19656777381897,0.8364197530864198,0.6891776929064022,0.8395061728395061,0.7723243243243243
140,BZR,TAGConv,2.0,,2,900,21.22884225845337,0.8364197530864198,0.7119130303487845,0.8148148148148148,0.7008126077320858
141,BZR,TAGConv,2.0,,3,500,15.000751256942747,0.8580246913580247,0.7551744529863986,0.7654320987654321,0.6537682789651293
142,BZR,TAGConv,2.0,,3,500,14.834619045257568,0.9135802469135802,0.8682850339740984,0.8518518518518519,0.6844155844155845
143,BZR,TAGConv,2.0,,3,500,14.946357250213625,0.8703703703703703,0.7764636309875813,0.7777777777777778,0.6318181818181818
144,BZR,TAGConv,2.0,,3,500,14.401248931884766,0.8888888888888888,0.8267894267894268,0.7901234567901234,0.6609209554296971
145,BZR,TAGConv,2.0,,3,500,14.419717073440552,0.8765432098765432,0.7927726255196674,0.7901234567901234,0.6902137232845894
146,BZR,TAGConv,2.0,,4,700,24.620626211166385,0.9537037037037036,0.924738675958188,0.7777777777777778,0.6495192307692308
147,BZR,TAGConv,2.0,,4,700,24.53893184661865,0.9660493827160492,0.9485380116959063,0.8271604938271605,0.6792986425339367
148,BZR,TAGConv,2.0,,4,700,24.62109923362732,0.9876543209876544,0.98177727784027,0.9012345679012346,0.8272921108742004
149,BZR,TAGConv,2.0,,4,700,24.578227519989014,0.9475308641975309,0.922149510254272,0.7283950617283951,0.6660419790104948
150,BZR,TAGConv,2.0,,4,700,24.159590482711792,0.9290123456790124,0.8873758822373691,0.7777777777777778,0.6785714285714286
151,BZR,GMM,,mean,2,200,4.516920566558838,0.808641975308642,0.447098976109215,0.691358024691358,0.4087591240875912
152,BZR,GMM,,mean,2,200,4.615550518035889,0.8148148148148148,0.5423297862322253,0.7777777777777778,0.4866197183098592
153,BZR,GMM,,mean,2,200,4.56159782409668,0.7839506172839507,0.4394463667820069,0.8024691358024691,0.4452054794520548
154,BZR,GMM,,mean,2,200,4.552598714828491,0.8055555555555556,0.489074115791845,0.7407407407407407,0.425531914893617
155,BZR,GMM,,mean,2,200,4.514155864715576,0.808641975308642,0.4625428082191781,0.7160493827160493,0.4172661870503596
